locus_tag	ftype	length_bp	gene	EC_number	COG	product
BJKHBEAE_02340	CDS	3099	ygfK		COG0493	Putative oxidoreductase YgfK
BJKHBEAE_02341	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
BJKHBEAE_02342	CDS	780				hypothetical protein
BJKHBEAE_02343	CDS	2871	xdhA_2	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
BJKHBEAE_02344	CDS	1401	xanQ		COG2233	Xanthine permease XanQ
BJKHBEAE_02345	CDS	1317	guaD	3.5.4.3	COG0402	Guanine deaminase
BJKHBEAE_02346	CDS	1368	ghxQ		COG2252	Guanine/hypoxanthine permease GhxQ
BJKHBEAE_02347	CDS	489	aegA_3		COG0493	Putative oxidoreductase AegA
BJKHBEAE_02348	CDS	1920	uacF		COG0493	Putative oxidoreductase UacF
BJKHBEAE_02349	CDS	1449	uacT		COG2233	Uric acid transporter UacT
BJKHBEAE_02350	CDS	126	yqfG			putative protein YqfG
BJKHBEAE_02351	CDS	549	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
BJKHBEAE_02352	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
BJKHBEAE_02353	CDS	882	prfB		COG1186	Peptide chain release factor RF2
BJKHBEAE_02354	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
BJKHBEAE_02355	CDS	711	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
BJKHBEAE_02356	CDS	897	xerD_1		COG4974	Tyrosine recombinase XerD
BJKHBEAE_02357	CDS	522	fldB		COG0716	Flavodoxin 2
BJKHBEAE_02358	CDS	408	ygfX			Inner membrane protein YgfX
BJKHBEAE_02359	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
BJKHBEAE_02360	CDS	981	ygfZ		COG0354	tRNA-modifying protein YgfZ
BJKHBEAE_02361	CDS	660				hypothetical protein
BJKHBEAE_02362	CDS	312	yqfB	3.5.1.135	COG3097	N(4)-acetylcytidine amidohydrolase
BJKHBEAE_02363	CDS	1434	bglA	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
BJKHBEAE_02364	CDS	744	ygfF	1.-.-.-	COG1028	putative oxidoreductase YgfF
BJKHBEAE_02365	CDS	2874	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
BJKHBEAE_02366	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
BJKHBEAE_02367	CDS	1095	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
BJKHBEAE_02368	CDS	1203	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
BJKHBEAE_02369	CDS	1179	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
BJKHBEAE_02370	CDS	1326	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
BJKHBEAE_02371	CDS	579				hypothetical protein
BJKHBEAE_02372	CDS	330	zapA		COG3027	Cell division protein ZapA
BJKHBEAE_02373	CDS	603	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
BJKHBEAE_02374	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
BJKHBEAE_02375	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
BJKHBEAE_02376	CDS	231				hypothetical protein
BJKHBEAE_02377	CDS	894	argP		COG0583	HTH-type transcriptional regulator ArgP
BJKHBEAE_02378	CDS	2145	scpA	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
BJKHBEAE_02379	CDS	996	argK	3.6.5.-	COG1703	GTPase ArgK
BJKHBEAE_02380	CDS	786	scpB	4.1.1.-	COG1024	Methylmalonyl-CoA decarboxylase
BJKHBEAE_02381	CDS	1479	scpC	2.8.3.27	COG0427	Propanoyl-CoA:succinate CoA transferase
BJKHBEAE_02382	CDS	897	cynR_2		COG0583	HTH-type transcriptional regulator CynR
BJKHBEAE_02383	CDS	741				26 kDa periplasmic immunogenic protein
BJKHBEAE_02384	CDS	636	argO		COG1279	Arginine exporter protein ArgO
BJKHBEAE_02385	CDS	861	mscS		COG0668	Small-conductance mechanosensitive channel
BJKHBEAE_02386	CDS	1080	fbaA	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
BJKHBEAE_02387	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
BJKHBEAE_02388	CDS	1020	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
BJKHBEAE_02389	CDS	714	coaA_1	2.7.1.33		Pantothenate kinase
BJKHBEAE_02390	CDS	510	fumE	4.2.1.2	COG3722	Fumarase E
BJKHBEAE_02391	CDS	966	yggF	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 2 class 2
BJKHBEAE_02392	CDS	1278	yggP	1.1.1.17	COG1063	Mannitol-1-phosphate 5-dehydrogenase
BJKHBEAE_02393	CDS	1389	mtlA_2			PTS system mannitol-specific EIICB component
BJKHBEAE_02394	CDS	444	cmtB		COG1762	Mannitol-specific cryptic phosphotransferase enzyme IIA component
BJKHBEAE_02395	CDS	1992	tktA	2.2.1.1	COG0021	Transketolase 1
BJKHBEAE_02396	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
BJKHBEAE_02397	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
BJKHBEAE_02398	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
BJKHBEAE_02399	CDS	252				hypothetical protein
BJKHBEAE_02400	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
BJKHBEAE_02401	CDS	1395	galP		COG2814	Galactose-proton symporter
BJKHBEAE_02402	CDS	456	sprT			Protein SprT
BJKHBEAE_02403	CDS	708	endA	3.1.21.1	COG2356	Endonuclease-1
BJKHBEAE_02404	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
BJKHBEAE_02405	CDS	951	gshB	6.3.2.3	COG0189	Glutathione synthetase
BJKHBEAE_02406	CDS	636				hypothetical protein
BJKHBEAE_02407	CDS	417	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
BJKHBEAE_02408	CDS	981	yggR		COG2805	putative protein YggR
BJKHBEAE_02409	CDS	705	yggS		COG0325	Pyridoxal phosphate homeostasis protein
BJKHBEAE_02410	CDS	567				hypothetical protein
BJKHBEAE_02411	CDS	291				hypothetical protein
BJKHBEAE_02412	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
BJKHBEAE_02413	CDS	1137	hemW		COG0635	Heme chaperone HemW
BJKHBEAE_02414	CDS	1008				hypothetical protein
BJKHBEAE_02415	CDS	1047	ansB	3.5.1.1	COG0252	L-asparaginase 2
BJKHBEAE_02416	CDS	720				hypothetical protein
BJKHBEAE_02417	CDS	327			COG3171	putative protein
BJKHBEAE_02418	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
BJKHBEAE_02419	CDS	1053	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
BJKHBEAE_02420	CDS	276	yggX		COG2924	putative Fe(2+)-trafficking protein
BJKHBEAE_02421	CDS	1080	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
BJKHBEAE_02422	CDS	1257	nupG		COG2211	Nucleoside permease NupG
BJKHBEAE_02423	CDS	2136	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
BJKHBEAE_02424	CDS	708				hypothetical protein
BJKHBEAE_02425	tRNA	76				tRNA-Phe(gaa)
BJKHBEAE_02426	CDS	537	epsM		COG3149	Type II secretion system protein M
BJKHBEAE_02427	CDS	843	yghE			Putative type II secretion system L-type protein YghE
BJKHBEAE_02428	CDS	855	gspC2			Type II secretion system protein C 2
BJKHBEAE_02429	CDS	411	yghG			Lipoprotein YghG
BJKHBEAE_02430	CDS	810	pppA		COG1989	Prepilin peptidase PppA
BJKHBEAE_02431	CDS	4563	sslE			lipoprotein metalloprotease SslE
BJKHBEAE_02432	CDS	1683	glcA		COG1620	Glycolate permease GlcA
BJKHBEAE_02433	CDS	2172	glcB	2.3.3.9	COG2225	Malate synthase G
BJKHBEAE_02434	CDS	405	glcG		COG3193	Protein GlcG
BJKHBEAE_02435	CDS	1224	glcF	1.1.99.14	COG0247	Glycolate oxidase iron-sulfur subunit
BJKHBEAE_02436	CDS	1053	glcE	1.1.99.14	COG0277	Glycolate oxidase subunit GlcE
BJKHBEAE_02437	CDS	1500	glcD	1.1.99.14	COG0277	Glycolate oxidase subunit GlcD
BJKHBEAE_02438	CDS	765	glcC		COG2186	Glc operon transcriptional activator
BJKHBEAE_02439	CDS	1137	yghO		COG0456	Protein YghO
BJKHBEAE_02440	CDS	1398				hypothetical protein
BJKHBEAE_02441	CDS	624	iprA			Inhibitor of hydrogen peroxide resistance
BJKHBEAE_02442	CDS	1158	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
BJKHBEAE_02443	CDS	102				hypothetical protein
BJKHBEAE_02444	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
BJKHBEAE_02445	CDS	1095				hypothetical protein
BJKHBEAE_02446	CDS	309	yaiY			Inner membrane protein YaiY
BJKHBEAE_02447	CDS	213				hypothetical protein
BJKHBEAE_02448	CDS	1095	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
BJKHBEAE_02449	CDS	261	iraP			Anti-adapter protein IraP
BJKHBEAE_02450	CDS	1416	phoA	3.1.3.1	COG1785	Alkaline phosphatase
BJKHBEAE_02451	CDS	321	psiF			Phosphate starvation-inducible protein PsiF
BJKHBEAE_02452	CDS	1116	dgcC	2.7.7.65	COG3706	putative diguanylate cyclase DgcC
BJKHBEAE_02453	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
BJKHBEAE_02454	CDS	459				hypothetical protein
BJKHBEAE_02455	CDS	525	aroL	2.7.1.71	COG0703	Shikimate kinase 2
BJKHBEAE_02456	CDS	192	yaiA			putative protein YaiA
BJKHBEAE_02457	CDS	678				hypothetical protein
BJKHBEAE_02458	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
BJKHBEAE_02459	CDS	120				hypothetical protein
BJKHBEAE_02460	CDS	978	rdgC		COG2974	Recombination-associated protein RdgC
BJKHBEAE_02461	CDS	909	mak	2.7.1.4	COG1940	Fructokinase
BJKHBEAE_02462	CDS	1269	araJ		COG2814	Putative transporter AraJ
BJKHBEAE_02463	CDS	3147	sbcC		COG0419	Nuclease SbcCD subunit C
BJKHBEAE_02464	CDS	1203	sbcD		COG0420	Nuclease SbcCD subunit D
BJKHBEAE_02465	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
BJKHBEAE_02466	CDS	1296	phoR	2.7.13.3	COG5002	Phosphate regulon sensor protein PhoR
BJKHBEAE_02467	CDS	1320	brnQ		COG1114	Branched-chain amino acid permease BrnQ
BJKHBEAE_02468	CDS	1374	proY		COG1113	Proline-specific permease ProY
BJKHBEAE_02469	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
BJKHBEAE_02470	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
BJKHBEAE_02471	CDS	1071	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
BJKHBEAE_02472	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
BJKHBEAE_02473	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
BJKHBEAE_02474	CDS	1815	secD		COG0342	Protein translocase subunit SecD
BJKHBEAE_02475	CDS	972	secF		COG0341	Protein translocase subunit SecF
BJKHBEAE_02476	CDS	348				hypothetical protein
BJKHBEAE_02477	CDS	885	tsx		COG3248	Nucleoside-specific channel-forming protein Tsx
BJKHBEAE_02478	CDS	540	yajI		COG4238	putative lipoprotein YajI
BJKHBEAE_02479	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
BJKHBEAE_02480	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
BJKHBEAE_02481	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
BJKHBEAE_02482	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
BJKHBEAE_02483	CDS	978	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
BJKHBEAE_02484	CDS	519	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
BJKHBEAE_02485	CDS	975	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
BJKHBEAE_02486	CDS	1863	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
BJKHBEAE_02487	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
BJKHBEAE_02488	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
BJKHBEAE_02489	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
BJKHBEAE_02490	CDS	591	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
BJKHBEAE_02491	CDS	912	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
BJKHBEAE_02492	CDS	492	yajQ		COG1666	Nucleotide-binding protein YajQ
BJKHBEAE_02493	CDS	1365	yajR		COG2814	Inner membrane transport protein YajR
BJKHBEAE_02494	CDS	891	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
BJKHBEAE_02495	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
BJKHBEAE_02496	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
BJKHBEAE_02497	CDS	1992	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
BJKHBEAE_02498	CDS	948	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
BJKHBEAE_02499	CDS	1476	ampG		COG2223	Anhydromuropeptide permease
BJKHBEAE_02500	CDS	579				hypothetical protein
BJKHBEAE_02501	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
BJKHBEAE_02502	CDS	1299	tig	5.2.1.8		Trigger factor
BJKHBEAE_02503	CDS	624	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
BJKHBEAE_02504	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
BJKHBEAE_02505	CDS	2355	lon_2			Lon protease
BJKHBEAE_02506	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
BJKHBEAE_02507	CDS	1872	ppiD		COG0760	Periplasmic chaperone PpiD
BJKHBEAE_02508	CDS	372			COG1555	putative protein
BJKHBEAE_02509	CDS	399	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
BJKHBEAE_02510	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
BJKHBEAE_02511	CDS	1701	sgrR_2		COG4533	HTH-type transcriptional regulator SgrR
BJKHBEAE_02512	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
BJKHBEAE_02513	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
BJKHBEAE_02514	CDS	1773	smdA			multidrug efflux ABC transporter permease/ATP-binding subunit SmdA
BJKHBEAE_02515	CDS	1782	smdB			multidrug efflux ABC transporter permease/ATP-binding subunit SmdB
BJKHBEAE_02516	CDS	339	glnK		COG0347	Nitrogen regulatory protein GlnK
BJKHBEAE_02517	CDS	1287	amtB		COG0004	Ammonium transporter AmtB
BJKHBEAE_02518	CDS	861	tesB	3.1.2.20	COG1946	Acyl-CoA thioesterase 2
BJKHBEAE_02519	CDS	573	ybaY		COG3126	putative lipoprotein YbaY
BJKHBEAE_02520	CDS	312	atl		COG3695	DNA base-flipping protein
BJKHBEAE_02521	CDS	354	ybaA			putative protein YbaA
BJKHBEAE_02522	CDS	1551	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
BJKHBEAE_02523	CDS	471	ylaC			Inner membrane protein YlaC
BJKHBEAE_02524	CDS	552	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
BJKHBEAE_02525	CDS	219	hha			Hemolysin expression-modulating protein Hha
BJKHBEAE_02526	CDS	375	tomB			Hha toxicity modulator TomB
BJKHBEAE_02527	CDS	3150	acrB_2			multidrug efflux RND transporter permease subunit AcrB
BJKHBEAE_02528	CDS	1194	acrA		COG0845	Multidrug efflux pump subunit AcrA
BJKHBEAE_02529	CDS	648	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
BJKHBEAE_02530	CDS	3363	mscK		COG1196	Mechanosensitive channel MscK
BJKHBEAE_02531	CDS	162				hypothetical protein
BJKHBEAE_02532	CDS	528	priC		COG3923	Replication restart protein PriC
BJKHBEAE_02533	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
BJKHBEAE_02534	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
BJKHBEAE_02535	CDS	1932	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
BJKHBEAE_02536	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
BJKHBEAE_02537	CDS	606	recR		COG0353	Recombination protein RecR
BJKHBEAE_02538	CDS	1875	htpG		COG0326	Chaperone protein HtpG
BJKHBEAE_02539	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
BJKHBEAE_02540	CDS	963	hemH	4.98.1.1	COG0276	Ferrochelatase
BJKHBEAE_02541	CDS	960	aes	3.1.1.-	COG0657	Acetyl esterase
BJKHBEAE_02542	CDS	1305	gsk	2.7.1.73	COG0524	Guanosine-inosine kinase
BJKHBEAE_02543	CDS	1677	ybaL		COG1226	Putative cation/proton antiporter YbaL
BJKHBEAE_02544	CDS	1221	fsr		COG2223	Fosmidomycin resistance protein
BJKHBEAE_02545	CDS	1653	ushA		COG0737	Protein UshA
BJKHBEAE_02546	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
BJKHBEAE_02547	CDS	795				hypothetical protein
BJKHBEAE_02548	CDS	396	ybaQ		COG3093	putative HTH-type transcriptional regulator YbaQ
BJKHBEAE_02549	CDS	2505	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
BJKHBEAE_02550	CDS	933	glsA1	3.5.1.2	COG2066	Glutaminase 1
BJKHBEAE_02551	CDS	1293	ybaT		COG0531	Inner membrane transport protein YbaT
BJKHBEAE_02552	CDS	408	cueR		COG0789	HTH-type transcriptional regulator CueR
BJKHBEAE_02553	CDS	459	ybbJ		COG1585	Inner membrane protein YbbJ
BJKHBEAE_02554	CDS	918	qmcA		COG0330	Protein QmcA
BJKHBEAE_02555	CDS	678	fetA	7.2.2.-	COG4619	putative iron export ATP-binding protein FetA
BJKHBEAE_02556	CDS	780	fetB		COG0390	putative iron export permease protein FetB
BJKHBEAE_02557	CDS	855	cnoX		COG3118	Chaperedoxin
BJKHBEAE_02558	CDS	771	capC	1.1.1.-		NADPH-dependent 3-dehydrocapnine reductase
BJKHBEAE_02559	CDS	594	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
BJKHBEAE_02560	CDS	687	lolD_2	7.6.2.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
BJKHBEAE_02561	CDS	2415				hypothetical protein
BJKHBEAE_02562	CDS	567				hypothetical protein
BJKHBEAE_02563	CDS	339	lacR			Lactose phosphotransferase system repressor
BJKHBEAE_02564	CDS	1041	gatD	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
BJKHBEAE_02565	CDS	1356	gatC_2		COG3775	PTS system galactitol-specific EIIC component
BJKHBEAE_02566	CDS	285	gatB_2	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
BJKHBEAE_02567	CDS	453	gatA		COG1762	PTS system galactitol-specific EIIA component
BJKHBEAE_02568	CDS	1263	gatZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit GatZ
BJKHBEAE_02569	CDS	855	gatY	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit GatY
BJKHBEAE_02570	CDS	1053	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
BJKHBEAE_02571	CDS	1278	yegT		COG2211	Putative nucleoside transporter YegT
BJKHBEAE_02572	CDS	1005	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
BJKHBEAE_02573	CDS	966	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
BJKHBEAE_02574	CDS	747	ggaR		COG2188	HTH-type transcriptional regulator GgaR
BJKHBEAE_02575	CDS	819				hypothetical protein
BJKHBEAE_02576	CDS	801	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
BJKHBEAE_02577	CDS	789	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
BJKHBEAE_02578	CDS	273	rcnR		COG1937	Transcriptional repressor RcnR
BJKHBEAE_02579	CDS	825	rcnA		COG2215	Nickel/cobalt efflux system RcnA
BJKHBEAE_02580	CDS	339	rcnB		COG5455	Nickel/cobalt homeostasis protein RcnB
BJKHBEAE_02581	CDS	1035	yehA		COG3539	putative fimbrial-like protein YehA
BJKHBEAE_02582	CDS	2481	yehB		COG3188	Outer membrane usher protein YehB
BJKHBEAE_02583	CDS	675	yehC		COG3121	putative fimbrial chaperone YehC
BJKHBEAE_02584	CDS	543	yehD		COG3539	putative fimbrial-like protein YehD
BJKHBEAE_02585	CDS	282				hypothetical protein
BJKHBEAE_02586	CDS	1110	mrp		COG0489	Iron-sulfur cluster carrier protein
BJKHBEAE_02587	CDS	2034	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
BJKHBEAE_02588	CDS	825	yehF			Protein YehF
BJKHBEAE_02589	CDS	1938				hypothetical protein
BJKHBEAE_02590	CDS	960				hypothetical protein
BJKHBEAE_02591	CDS	3633				hypothetical protein
BJKHBEAE_02592	CDS	318				hypothetical protein
BJKHBEAE_02593	CDS	1089	yehL		COG0714	putative protein YehL
BJKHBEAE_02594	CDS	2280				hypothetical protein
BJKHBEAE_02595	CDS	1137				hypothetical protein
BJKHBEAE_02596	CDS	1845				hypothetical protein
BJKHBEAE_02597	CDS	462	yehR		COG4808	putative lipoprotein YehR
BJKHBEAE_02598	CDS	471				hypothetical protein
BJKHBEAE_02599	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
BJKHBEAE_02600	CDS	1686	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
BJKHBEAE_02601	CDS	732	mlrA		COG0789	HTH-type transcriptional regulator MlrA
BJKHBEAE_02602	CDS	108				hypothetical protein
BJKHBEAE_02603	CDS	732	yehW		COG1174	Glycine betaine uptake system permease protein YehW
BJKHBEAE_02604	CDS	927	yehX	7.4.2.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
BJKHBEAE_02605	CDS	1158	yehY		COG1174	Glycine betaine uptake system permease protein YehY
BJKHBEAE_02606	CDS	918	yehZ		COG1732	Glycine betaine-binding protein YehZ
BJKHBEAE_02607	CDS	2268		3.2.1.-	COG1472	Beta-xylosidase
BJKHBEAE_02608	CDS	1716	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
BJKHBEAE_02609	CDS	933	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
BJKHBEAE_02610	CDS	588	yohC			Inner membrane protein YohC
BJKHBEAE_02611	CDS	579	yohD		COG0586	Inner membrane protein YohD
BJKHBEAE_02612	CDS	762	yohF	1.-.-.-	COG1028	putative oxidoreductase YohF
BJKHBEAE_02613	CDS	1191	srpC			Solvent efflux pump outer membrane protein SrpC
BJKHBEAE_02614	CDS	948	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
BJKHBEAE_02615	CDS	399				hypothetical protein
BJKHBEAE_02616	CDS	696	yohK		COG1346	Inner membrane protein YohK
BJKHBEAE_02617	CDS	885	cdd	3.5.4.5	COG0295	Cytidine deaminase
BJKHBEAE_02618	CDS	720				hypothetical protein
BJKHBEAE_02619	CDS	240				hypothetical protein
BJKHBEAE_02620	CDS	1239	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
BJKHBEAE_02621	CDS	1236	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
BJKHBEAE_02622	CDS	1011	mglC		COG4211	Galactose/methyl galactoside import permease protein MglC
BJKHBEAE_02623	CDS	1521	mglA_2	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
BJKHBEAE_02624	CDS	999	mglB		COG1879	D-galactose/methyl-galactoside binding periplasmic protein MglB
BJKHBEAE_02625	CDS	1041	galS		COG1609	HTH-type transcriptional regulator GalS
BJKHBEAE_02626	CDS	1158				hypothetical protein
BJKHBEAE_02627	CDS	669	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
BJKHBEAE_02628	CDS	837	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
BJKHBEAE_02629	CDS	1992	cirA			catecholate siderophore receptor CirA
BJKHBEAE_02630	CDS	1470	lysP		COG0833	Lysine-specific permease LysP
BJKHBEAE_02631	CDS	882	yeiE		COG0583	putative HTH-type transcriptional regulator YeiE
BJKHBEAE_02632	CDS	1050				hypothetical protein
BJKHBEAE_02633	CDS	858	nfo	3.1.21.2	COG0648	Endonuclease 4
BJKHBEAE_02634	CDS	1089	psuK_1	2.7.1.83	COG0524	Pseudouridine kinase
BJKHBEAE_02635	CDS	1251	nupX		COG1972	Putative nucleoside permease NupX
BJKHBEAE_02636	CDS	942	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
BJKHBEAE_02637	CDS	699	yeiL		COG0664	Regulatory protein YeiL
BJKHBEAE_02638	CDS	1251	psuT		COG1972	Putative pseudouridine transporter
BJKHBEAE_02639	CDS	939	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
BJKHBEAE_02640	CDS	942	psuK_2	2.7.1.83	COG0524	Pseudouridine kinase
BJKHBEAE_02641	CDS	1692	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
BJKHBEAE_02642	CDS	939	fruK	2.7.1.56	COG1105	1-phosphofructokinase
BJKHBEAE_02643	CDS	1131	fruB		COG1925	Multiphosphoryl transfer protein
BJKHBEAE_02644	CDS	1182	setB		COG2814	Sugar efflux transporter B
BJKHBEAE_02645	CDS	255				hypothetical protein
BJKHBEAE_02646	CDS	573	yeiP		COG0231	Elongation factor P-like protein
BJKHBEAE_02647	CDS	1467	mtlK	1.1.1.67		Mannitol 2-dehydrogenase
BJKHBEAE_02648	CDS	987	yeiR	3.6.5.-	COG0523	Zinc chaperone YeiR
BJKHBEAE_02649	CDS	714	lpxT	2.7.4.29	COG0671	Lipid A 1-diphosphate synthase
BJKHBEAE_02650	CDS	567	mepS_2	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
BJKHBEAE_02651	CDS	1557	pdeN	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
BJKHBEAE_02652	CDS	1815	yejA		COG4166	putative protein YejA
BJKHBEAE_02653	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
BJKHBEAE_02654	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
